Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26.0,52.0,38.0,sandy soil,Maize,37,0,0,Urea
29.0,52.0,45.0,loamy soil,Sugarcane,12,0,36,DAP
34.0,65.0,62.0,black soil,Cotton,7,9,30,14-35-14
32.0,62.0,34.0,red soil,Tobacco,22,0,20,28-28
28.0,54.0,46.0,clayey soils,Paddy,35,0,0,Urea
26.0,52.0,35.0,sandy soil,Barley,12,10,13,17-17-17
25.0,50.0,64.0,red soil,Cotton,9,0,10,20-20
33.0,64.0,50.0,loamy soil,Wheat,41,0,0,Urea
30.0,60.0,42.0,sandy soil,Millets,21,0,18,28-28
29.0,58.0,33.0,black soil,Oil seeds,9,7,30,14-35-14
27.0,54.0,28.0,clayey soils,Pulses,13,0,40,DAP
31.0,62.0,48.0,sandy soil,Maize,14,15,12,17-17-17
25.0,50.0,65.0,loamy soil,Cotton,36,0,0,Urea
32.0,62.0,41.0,clayey soils,Paddy,24,0,22,28-28
26.0,52.0,31.0,red soil,Ground Nuts,14,0,41,DAP
31.0,62.0,49.0,black soil,Sugarcane,10,13,14,17-17-17
33.0,64.0,34.0,clayey soils,Pulses,38,0,0,Urea
25.0,50.0,39.0,sandy soil,Barley,21,0,19,28-28
28.0,54.0,65.0,black soil,Cotton,39,0,0,Urea
29.0,58.0,52.0,loamy soil,Wheat,13,0,36,DAP
30.0,60.0,44.0,sandy soil,Millets,10,0,9,20-20
34.0,65.0,53.0,loamy soil,Sugarcane,12,14,12,17-17-17
35.0,68.0,33.0,red soil,Tobacco,11,0,37,DAP
28.0,54.0,37.0,black soil,Millets,36,0,0,Urea
33.0,64.0,39.0,clayey soils,Paddy,13,0,10,20-20
26.0,52.0,44.0,sandy soil,Maize,23,0,20,28-28
30.0,60.0,63.0,red soil,Cotton,9,9,29,14-35-14
32.0,62.0,30.0,loamy soil,Sugarcane,38,0,0,Urea
37.0,70.0,32.0,black soil,Oil seeds,12,0,39,DAP
26.0,52.0,36.0,clayey soils,Pulses,14,0,13,20-20
29.0,58.0,40.0,red soil,Ground Nuts,24,0,23,28-28
30.0,60.0,27.0,loamy soil,Sugarcane,12,0,40,DAP
34.0,65.0,38.0,clayey soils,Paddy,39,0,0,Urea
36.0,68.0,38.0,sandy soil,Barley,7,9,30,14-35-14
26.0,52.0,48.0,loamy soil,Wheat,23,0,19,28-28
28.0,54.0,35.0,black soil,Millets,41,0,0,Urea
30.0,60.0,61.0,loamy soil,Cotton,8,10,31,14-35-14
37.0,70.0,37.0,clayey soils,Paddy,12,0,41,DAP
25.0,50.0,26.0,red soil,Ground Nuts,15,14,11,17-17-17
29.0,58.0,34.0,sandy soil,Millets,15,0,37,DAP
27.0,54.0,30.0,clayey soils,Pulses,13,0,13,20-20
30.0,60.0,58.0,loamy soil,Sugarcane,10,7,32,14-35-14
32.0,62.0,34.0,red soil,Tobacco,22,0,24,28-28
34.0,65.0,60.0,black soil,Sugarcane,35,0,0,Urea
35.0,67.0,42.0,sandy soil,Barley,10,0,35,DAP
38.0,70.0,48.0,loamy soil,Wheat,8,8,28,14-35-14
26.0,52.0,32.0,black soil,Oil seeds,12,0,8,20-20
29.0,58.0,43.0,clayey soils,Paddy,24,0,18,28-28
30.0,60.0,29.0,red soil,Ground Nuts,41,0,0,Urea
33.0,64.0,51.0,sandy soil,Maize,5,9,29,14-35-14
34.0,65.0,31.0,red soil,Tobacco,23,0,21,28-28
36.0,68.0,33.0,black soil,Oil seeds,13,0,14,20-20
28.0,54.0,38.0,clayey soils,Pulses,40,0,0,Urea
30.0,60.0,47.0,sandy soil,Barley,12,0,42,DAP
31.0,62.0,63.0,red soil,Cotton,11,12,15,17-17-17
27.0,53.0,43.0,black soil,Millets,23,0,24,28-28
34.0,65.0,54.0,loamy soil,Wheat,38,0,0,Urea
29.0,58.0,37.0,sandy soil,Millets,8,0,15,20-20
25.0,50.0,56.0,loamy soil,Sugarcane,11,13,15,17-17-17
32.0,62.0,34.0,red soil,Ground Nuts,15,0,37,DAP
28.0,54.0,41.0,clayey soils,Paddy,36,0,0,Urea
30.0,60.0,49.0,loamy soil,Wheat,13,0,9,20-20
34.0,65.0,64.0,black soil,Cotton,24,0,20,28-28
28.0,54.0,47.0,sandy soil,Barley,5,18,15,10-26-26
27.0,53.0,35.0,black soil,Oil seeds,37,0,0,Urea
36.0,68.0,62.0,red soil,Cotton,15,0,40,DAP
34.0,65.0,57.0,black soil,Sugarcane,9,0,13,20-20
29.0,58.0,55.0,loamy soil,Sugarcane,8,8,33,14-35-14
25.0,50.0,40.0,clayey soils,Pulses,6,19,16,10-26-26
30.0,60.0,38.0,sandy soil,Millets,10,0,14,20-20
26.0,52.0,39.0,clayey soils,Pulses,21,0,23,28-28
31.0,62.0,32.0,red soil,Tobacco,39,0,0,Urea
34.0,65.0,48.0,loamy soil,Wheat,23,0,19,28-28
27.0,53.0,34.0,black soil,Oil seeds,42,0,0,Urea
33.0,64.0,31.0,red soil,Ground Nuts,13,0,39,DAP
29.0,58.0,42.0,clayey soils,Paddy,9,10,22,14-35-14
30.0,60.0,47.0,sandy soil,Maize,22,0,21,28-28
27.0,53.0,59.0,loamy soil,Sugarcane,10,0,15,20-20
26.0,52.0,36.0,clayey soils,Pulses,7,16,20,10-26-26
34.0,65.0,63.0,red soil,Cotton,14,0,38,DAP
28.0,54.0,43.0,clayey soils,Paddy,10,8,29,14-35-14
30.0,60.0,40.0,sandy soil,Millets,41,0,0,Urea
29.0,58.0,65.0,black soil,Cotton,14,0,35,DAP
26.0,52.0,59.0,loamy soil,Sugarcane,11,0,9,20-20
31.0,62.0,44.0,sandy soil,Barley,21,0,28,28-28
35.0,67.0,28.0,clayey soils,Pulses,8,7,31,14-35-14
29.0,58.0,30.0,red soil,Tobacco,13,17,16,10-26-26
27.0,53.0,30.0,black soil,Millets,35,0,0,Urea
36.0,68.0,50.0,loamy soil,Wheat,12,18,19,10-26-26
29.0,58.0,61.0,loamy soil,Cotton,11,0,38,DAP
30.0,60.0,26.0,black soil,Oil seeds,8,9,30,14-35-14
34.0,65.0,45.0,clayey soils,Paddy,6,19,21,10-26-26
36.0,68.0,41.0,red soil,Ground Nuts,41,0,0,Urea
28.0,54.0,25.0,sandy soil,Maize,9,10,30,14-35-14
25.0,50.0,32.0,clayey soils,Pulses,24,0,19,28-28
30.0,60.0,27.0,red soil,Tobacco,4,17,17,10-26-26
38.0,72.0,51.0,loamy soil,Wheat,39,0,0,Urea
36.0,60.0,43.0,sandy soil,Millets,15,0,41,DAP
29.0,58.0,57.0,black soil,Sugarcane,12,0,10,20-20
27.58,59.21,31.27,loamy soil,Cotton,20,2,15,DAP
27.45,66.38,50.14,black soil,Millets,9,12,14,28-28
27.25,63.62,40.35,black soil,Wheat,28,0,22,Urea
28.84,58.91,33.06,clayey soils,Millets,8,9,28,17-17-17
25.86,48.46,46.25,red soil,Ground Nuts,40,2,0,28-28
25.59,63.6,46.33,clayey soils,Cotton,11,0,11,28-28
29.17,68.19,30.65,sandy soil,Oil seeds,6,4,14,Urea
36.05,73.59,58.17,red soil,Millets,9,14,11,17-17-17
26.76,64.22,53.63,sandy soil,Ground Nuts,5,8,30,28-28
27.66,53.58,40.96,red soil,Cotton,41,0,3,20-20
28.27,52.88,43.3,black soil,Wheat,40,0,0,10-26-26
38.39,69.51,65.09,clayey soils,Oil seeds,8,1,16,Urea
28.74,56.8,54.07,loamy soil,Cotton,15,0,35,DAP
30.63,63.88,38.71,loamy soil,Paddy,19,4,28,DAP
26.02,52.46,31.12,loamy soil,Barley,11,5,12,10-26-26
34.71,64.94,52.62,sandy soil,Oil seeds,9,22,21,14-35-14
23.71,51.25,30.5,black soil,Oil seeds,11,0,8,17-17-17
30.63,61.45,23.18,black soil,Maize,37,2,4,17-17-17
23.63,52.62,31.03,clayey soils,Sugarcane,12,13,13,14-35-14
27.65,58.09,69.07,clayey soils,Oil seeds,16,3,32,10-26-26
31.19,60.94,30.51,black soil,Paddy,12,0,36,Urea
37.12,72.87,47.06,sandy soil,Tobacco,45,2,0,Urea
33.52,60.46,47.85,black soil,Pulses,7,15,16,DAP
29.44,59.34,55.51,loamy soil,Sugarcane,10,3,31,17-17-17
33.24,69.48,65.48,clayey soils,Cotton,8,13,28,10-26-26
20.85,53.18,43.77,loamy soil,Tobacco,2,20,19,Urea
38.42,73.97,50.41,loamy soil,Sugarcane,11,1,36,DAP
29.04,71.09,21.12,sandy soil,Maize,34,0,3,14-35-14
23.59,55.82,62.92,red soil,Sugarcane,39,0,0,Urea
38.56,73.46,30.62,black soil,Pulses,11,0,32,28-28
30.87,63.94,46.2,sandy soil,Cotton,15,0,8,Urea
25.83,51.1,59.57,sandy soil,Maize,38,4,0,Urea
34.51,63.92,70.0,loamy soil,Sugarcane,14,0,35,17-17-17
31.92,62.59,27.78,sandy soil,Pulses,18,0,25,DAP
28.43,58.72,43.9,sandy soil,Sugarcane,13,16,11,20-20
27.53,55.04,57.07,sandy soil,Pulses,4,0,14,28-28
24.53,67.4,48.49,red soil,Paddy,8,9,18,20-20
30.82,51.91,54.23,red soil,Wheat,15,4,33,14-35-14
32.53,59.45,20.16,loamy soil,Cotton,9,15,16,17-17-17
28.17,58.69,34.11,sandy soil,Cotton,12,8,33,20-20
29.25,54.52,41.4,clayey soils,Paddy,35,0,0,28-28
22.26,51.36,48.36,loamy soil,Tobacco,6,16,17,Urea
30.76,66.64,56.32,red soil,Ground Nuts,41,3,4,28-28
27.84,66.53,36.89,loamy soil,Sugarcane,7,11,20,Urea
29.21,64.21,54.95,red soil,Wheat,7,11,31,14-35-14
26.01,59.52,35.75,loamy soil,Pulses,11,13,15,28-28
29.5,55.42,51.17,red soil,Cotton,23,0,23,10-26-26
32.98,62.02,33.12,red soil,Wheat,40,0,0,10-26-26
24.24,59.04,50.07,loamy soil,Barley,38,0,1,Urea
33.54,59.28,52.09,clayey soils,Wheat,21,3,20,20-20
34.43,72.28,62.22,clayey soils,Ground Nuts,35,4,0,17-17-17
32.19,68.94,67.37,sandy soil,Barley,15,0,33,20-20
32.55,71.46,67.14,clayey soils,Oil seeds,5,7,32,20-20
28.38,52.02,43.83,loamy soil,Wheat,13,0,38,10-26-26
25.4,43.57,38.51,red soil,Maize,36,0,0,28-28
33.8,52.28,53.31,clayey soils,Millets,12,15,15,28-28
28.38,47.58,34.86,black soil,Paddy,20,0,20,28-28
28.37,59.8,35.35,black soil,Oil seeds,23,2,16,17-17-17
30.08,73.84,41.22,sandy soil,Sugarcane,1,14,22,10-26-26
34.95,64.93,62.63,clayey soils,Wheat,31,1,0,14-35-14
35.56,74.88,52.16,clayey soils,Cotton,20,0,21,14-35-14
24.05,52.76,58.9,sandy soil,Oil seeds,7,1,7,DAP
23.42,53.65,69.68,sandy soil,Barley,11,3,14,20-20
